Frame 00000 Position: X=0, Y=0, Z=0 
Frame 00145 Position: X=0.3091109, Y=-0.2223668, Z=3.567734 
Frame 00146 Position: X=0.3218425, Y=-0.2191267, Z=3.573661 
Frame 00147 Position: X=0.3429281, Y=-0.2137289, Z=3.583622 
Frame 00148 Position: X=0.3672116, Y=-0.2074623, Z=3.595341 
Frame 00149 Position: X=0.4035421, Y=-0.1979809, Z=3.613427 
Frame 00150 Position: X=0.4281681, Y=-0.1914778, Z=3.626116 
Frame 00151 Position: X=0.4452115, Y=-0.1869392, Z=3.635123 
Frame 00152 Position: X=0.479802, Y=-0.1776276, Z=3.654039 
Frame 00153 Position: X=0.4933892, Y=-0.1739306, Z=3.661724 
Frame 00154 Position: X=0.5135772, Y=-0.1683946, Z=3.673435 
Frame 00155 Position: X=0.5459731, Y=-0.1593971, Z=3.693033 
Frame 00156 Position: X=0.5703732, Y=-0.1525197, Z=3.708527 
Frame 00157 Position: X=0.5942164, Y=-0.1457086, Z=3.724355 
Frame 00158 Position: X=0.6067621, Y=-0.142086, Z=3.732985 
Frame 00159 Position: X=0.6268272, Y=-0.1362333, Z=3.747255 
Frame 00160 Position: X=0.644881, Y=-0.1309004, Z=3.760637 
Frame 00161 Position: X=0.6721714, Y=-0.1227074, Z=3.781955 
Frame 00162 Position: X=0.683309, Y=-0.1193142, Z=3.791073 
Frame 00163 Position: X=0.6998948, Y=-0.1142035, Z=3.80515 
Frame 00164 Position: X=0.7176561, Y=-0.1086464, Z=3.820951 
Frame 00165 Position: X=0.7341365, Y=-0.1034055, Z=3.836363 
Frame 00166 Position: X=0.751884, Y=-0.09766054, Z=3.853868 
Frame 00167 Position: X=0.7672725, Y=-0.09258413, Z=3.869905 
Frame 00168 Position: X=0.7865935, Y=-0.08606958, Z=3.891337 
Frame 00169 Position: X=0.799174, Y=-0.08173227, Z=3.90618 
Frame 00170 Position: X=0.8128216, Y=-0.07693005, Z=3.92319 
Frame 00171 Position: X=0.8331752, Y=-0.06955147, Z=3.950615 
Frame 00172 Position: X=0.8484692, Y=-0.0638032, Z=3.973169 
Frame 00173 Position: X=0.8630376, Y=-0.05812931, Z=3.996572 
Frame 00174 Position: X=0.8704728, Y=-0.05514479, Z=4.009375 
Frame 00175 Position: X=0.8817977, Y=-0.05046368, Z=4.030203 
Frame 00176 Position: X=0.8945772, Y=-0.04494381, Z=4.056038 
Frame 00177 Position: X=0.9076974, Y=-0.03896904, Z=4.085821 
Frame 00178 Position: X=0.9137611, Y=-0.03625298, Z=4.10051 
Frame 00179 Position: X=0.9271592, Y=-0.0306015, Z=4.13456 
Frame 00180 Position: X=0.9371077, Y=-0.02671862, Z=4.161332 
Frame 00181 Position: X=0.9465833, Y=-0.02327156, Z=4.188082 
Frame 00182 Position: X=0.9513077, Y=-0.02164507, Z=4.201895 
Frame 00183 Position: X=0.9589701, Y=-0.01913834, Z=4.224999 
Frame 00184 Position: X=0.9667552, Y=-0.01675892, Z=4.2494 
Frame 00185 Position: X=0.9748415, Y=-0.01446724, Z=4.275785 
Frame 00186 Position: X=0.9866915, Y=-0.01144314, Z=4.316488 
