Frame 00000 Rotation: X=0, Y=0, Z=0, W=1 
Frame 00088 Rotation: X=-0.05534542, Y=0.07523324, Z=0.006875989, W=0.9956051 
Frame 00089 Rotation: X=-0.05706352, Y=0.07542601, Z=0.007024817, W=0.9954925 
Frame 00090 Rotation: X=-0.05853341, Y=0.07556569, Z=0.00714757, W=0.9953957 
Frame 00091 Rotation: X=-0.06046841, Y=0.07571156, Z=0.007301837, W=0.9952678 
Frame 00092 Rotation: X=-0.06230818, Y=0.07581271, Z=0.007440916, W=0.9951456 
Frame 00093 Rotation: X=-0.06418722, Y=0.07587905, Z=0.007575089, W=0.9950201 
Frame 00094 Rotation: X=-0.06620769, Y=0.07591002, Z=0.007710335, W=0.9948843 
Frame 00095 Rotation: X=-0.06799108, Y=0.07590482, Z=0.007822116, W=0.9947636 
Frame 00096 Rotation: X=-0.0697229, Y=0.07586826, Z=0.007922988, W=0.9946457 
Frame 00097 Rotation: X=-0.07258449, Y=0.07574517, Z=0.008073688, W=0.9944491 
Frame 00098 Rotation: X=-0.0748187, Y=0.07559296, Z=0.008176391, W=0.9942942 
Frame 00099 Rotation: X=-0.07655419, Y=0.07544325, Z=0.008247405, W=0.9941729 
Frame 00100 Rotation: X=-0.07914101, Y=0.07516846, Z=0.008338352, W=0.9939904 
Frame 00101 Rotation: X=-0.07963577, Y=0.07510928, Z=0.008353773, W=0.9939553 
Frame 00102 Rotation: X=-0.08338511, Y=0.07458849, Z=0.008448546, W=0.9936861 
Frame 00103 Rotation: X=-0.08562006, Y=0.07421754, Z=0.0084858, W=0.9935235 
Frame 00104 Rotation: X=-0.08771887, Y=0.07382934, Z=0.008507674, W=0.9933692 
Frame 00105 Rotation: X=-0.08988884, Y=0.0733891, Z=0.008517149, W=0.9932077 
Frame 00106 Rotation: X=-0.09207477, Y=0.07290558, Z=0.008512811, W=0.9930431 
Frame 00107 Rotation: X=-0.09424653, Y=0.07238534, Z=0.008494341, W=0.9928775 
Frame 00108 Rotation: X=-0.09647306, Y=0.07181144, Z=0.008460671, W=0.9927056 
Frame 00109 Rotation: X=-0.0982934, Y=0.0713119, Z=0.008421979, W=0.9925634 
Frame 00110 Rotation: X=-0.1007673, Y=0.07058877, Z=0.008352907, W=0.9923676 
Frame 00111 Rotation: X=-0.1025911, Y=0.07002518, Z=0.00829017, W=0.9922212 
Frame 00112 Rotation: X=-0.1051627, Y=0.06918023, Z=0.00818226, W=0.9920121 
Frame 00113 Rotation: X=-0.1071959, Y=0.06847787, Z=0.008083029, W=0.991844 
Frame 00114 Rotation: X=-0.1092251, Y=0.06774447, Z=0.007970887, W=0.9916739 
Frame 00115 Rotation: X=-0.1118516, Y=0.06674831, Z=0.007806418, W=0.99145 
Frame 00116 Rotation: X=-0.1142353, Y=0.06579471, Z=0.007636732, W=0.9912432 
Frame 00117 Rotation: X=-0.1165845, Y=0.06481408, Z=0.007452191, W=0.9910356 
Frame 00118 Rotation: X=-0.1188614, Y=0.06382147, Z=0.007255546, W=0.9908311 
Frame 00119 Rotation: X=-0.1213341, Y=0.06269513, Z=0.007021372, W=0.9906049 
Frame 00120 Rotation: X=-0.1236467, Y=0.06160128, Z=0.006784766, W=0.9903892 
Frame 00121 Rotation: X=-0.1258424, Y=0.06052383, Z=0.006543167, W=0.9901807 
Frame 00122 Rotation: X=-0.1281953, Y=0.05932893, Z=0.006266791, W=0.9899529 
Frame 00123 Rotation: X=-0.1300831, Y=0.05833617, Z=0.006030098, W=0.9897671 
Frame 00124 Rotation: X=-0.1324583, Y=0.05705584, Z=0.005717796, W=0.9895285 
Frame 00125 Rotation: X=-0.1347924, Y=0.05574808, Z=0.00538935, W=0.9892897 
Frame 00126 Rotation: X=-0.1366081, Y=0.05470165, Z=0.005120926, W=0.9891005 
Frame 00127 Rotation: X=-0.1393004, Y=0.05310272, Z=0.004701698, W=0.9888142 
Frame 00128 Rotation: X=-0.1414093, Y=0.05180831, Z=0.004354781, W=0.9885851 
Frame 00129 Rotation: X=-0.1437439, Y=0.05033844, Z=0.003954118, W=0.988326 
Frame 00130 Rotation: X=-0.1463379, Y=0.04865099, Z=0.00348463, W=0.9880315 
Frame 00131 Rotation: X=-0.1480018, Y=0.04754454, Z=0.003172482, W=0.9878386 
Frame 00132 Rotation: X=-0.1501444, Y=0.0460817, Z=0.002753964, W=0.9875857 
Frame 00133 Rotation: X=-0.1527689, Y=0.0442409, Z=0.002219332, W=0.9872687 
Frame 00134 Rotation: X=-0.1552382, Y=0.04246111, Z=0.001694969, W=0.9869627 
Frame 00135 Rotation: X=-0.1571747, Y=0.04102839, Z=0.001267579, W=0.9867174 
Frame 00136 Rotation: X=-0.1591823, Y=0.03951372, Z=0.0008113484, W=0.9864579 
Frame 00137 Rotation: X=-0.1613269, Y=0.03785933, Z=0.0003079638, W=0.9861745 
Frame 00138 Rotation: X=-0.1637131, Y=0.03597443, Z=-0.0002718917, W=0.9858518 
Frame 00139 Rotation: X=-0.1655953, Y=0.03444809, Z=-0.0007463263, W=0.9855917 
Frame 00140 Rotation: X=-0.1676404, Y=0.03275828, Z=-0.001275775, W=0.985303 
Frame 00141 Rotation: X=-0.1696205, Y=0.03108777, Z=-0.001803602, W=0.9850174 
Frame 00142 Rotation: X=-0.1721413, Y=0.02891072, Z=-0.002497708, W=0.9846448 
Frame 00143 Rotation: X=-0.1738083, Y=0.02743695, Z=-0.002971463, W=0.9843928 
Frame 00144 Rotation: X=-0.1756151, Y=0.02581026, Z=-0.003497754, W=0.9841143 
Frame 00145 Rotation: X=-0.1780984, Y=0.02352768, Z=-0.004241765, W=0.9837223 
Frame 00146 Rotation: X=-0.1796666, Y=0.02205053, Z=-0.004726836, W=0.9834691 
Frame 00147 Rotation: X=-0.1820029, Y=0.01981278, Z=-0.005466042, W=0.9830832 
Frame 00148 Rotation: X=-0.1841024, Y=0.01775644, Z=-0.006150064, W=0.9827275 
Frame 00149 Rotation: X=-0.1861907, Y=0.01566753, Z=-0.006849343, W=0.9823648 
Frame 00150 Rotation: X=-0.188278, Y=0.01353235, Z=-0.007568622, W=0.9819934 
Frame 00151 Rotation: X=-0.1906981, Y=0.01100185, Z=-0.008426403, W=0.9815509 
Frame 00152 Rotation: X=-0.1927635, Y=0.008796917, Z=-0.009178236, W=0.9811629 
Frame 00153 Rotation: X=-0.1944377, Y=0.006972093, Z=-0.009803686, W=0.9808412 
Frame 00154 Rotation: X=-0.1962925, Y=0.004919502, Z=-0.01051017, W=0.9804767 
Frame 00155 Rotation: X=-0.1984913, Y=0.002441309, Z=-0.01136743, W=0.9800337 
Frame 00156 Rotation: X=-0.2006355, Y=-2.837218E-05, Z=-0.01222637, W=0.9795897 
Frame 00157 Rotation: X=-0.2027403, Y=-0.002500873, Z=-0.01309059, W=0.9791418 
Frame 00158 Rotation: X=-0.2045595, Y=-0.004677865, Z=-0.01385492, W=0.9787449 
Frame 00159 Rotation: X=-0.2061432, Y=-0.006600111, Z=-0.0145324, W=0.9783917 
Frame 00160 Rotation: X=-0.2078279, Y=-0.008675055, Z=-0.01526637, W=0.9780078 
Frame 00161 Rotation: X=-0.2097561, Y=-0.01108651, Z=-0.01612283, W=0.977558 
Frame 00162 Rotation: X=-0.2113557, Y=-0.01312137, Z=-0.01684848, W=0.9771759 
Frame 00163 Rotation: X=-0.2130887, Y=-0.01535344, Z=-0.01764718, W=0.9767528 
Frame 00164 Rotation: X=-0.2147115, Y=-0.01747239, Z=-0.01840819, W=0.9763477 
Frame 00165 Rotation: X=-0.2165979, Y=-0.01996965, Z=-0.01930859, W=0.9758657 
Frame 00166 Rotation: X=-0.2180263, Y=-0.02188657, Z=-0.0200023, W=0.9754924 
Frame 00167 Rotation: X=-0.2196792, Y=-0.02413083, Z=-0.02081723, W=0.9750515 
Frame 00168 Rotation: X=-0.2215135, Y=-0.0266586, Z=-0.02173896, W=0.9745505 
Frame 00169 Rotation: X=-0.2228943, Y=-0.02858125, Z=-0.02244262, W=0.9741651 
Frame 00170 Rotation: X=-0.2244504, Y=-0.03076922, Z=-0.02324605, W=0.9737222 
Frame 00171 Rotation: X=-0.2262634, Y=-0.03334612, Z=-0.02419612, W=0.9731945 
Frame 00172 Rotation: X=-0.2281119, Y=-0.03600645, Z=-0.02518153, W=0.972643 
Frame 00173 Rotation: X=-0.2299421, Y=-0.03867001, Z=-0.02617279, W=0.9720835 
Frame 00174 Rotation: X=-0.2314052, Y=-0.04082129, Z=-0.02697698, W=0.9716262 
Frame 00175 Rotation: X=-0.2328945, Y=-0.04302622, Z=-0.02780432, W=0.9711518 
Frame 00176 Rotation: X=-0.2346387, Y=-0.04563396, Z=-0.02878765, W=0.9705842 
Frame 00177 Rotation: X=-0.2363718, Y=-0.04824226, Z=-0.02977587, W=0.9700075 
Frame 00178 Rotation: X=-0.2377297, Y=-0.05030185, Z=-0.03056019, W=0.9695465 
Frame 00179 Rotation: X=-0.2395123, Y=-0.05301999, Z=-0.03159998, W=0.9689295 
Frame 00180 Rotation: X=-0.2411573, Y=-0.0555466, Z=-0.03257234, W=0.9683475 
Frame 00181 Rotation: X=-0.2427814, Y=-0.05805605, Z=-0.03354359, W=0.9677611 
Frame 00182 Rotation: X=-0.2439537, Y=-0.05987747, Z=-0.0342524, W=0.9673304 
Frame 00183 Rotation: X=-0.245319, Y=-0.06200604, Z=-0.03508426, W=0.9668211 
Frame 00184 Rotation: X=-0.2468279, Y=-0.06436862, Z=-0.0360125, W=0.9662483 
Frame 00185 Rotation: X=-0.2481485, Y=-0.06644461, Z=-0.03683279, W=0.9657385 
Frame 00186 Rotation: X=-0.2497234, Y=-0.06893008, Z=-0.03782047, W=0.96512 
Frame 00187 Rotation: X=-0.2512903, Y=-0.07141352, Z=-0.03881447, W=0.964493 
Frame 00188 Rotation: X=-0.2530135, Y=-0.07415192, Z=-0.0399177, W=0.9637906 
Frame 00189 Rotation: X=-0.254247, Y=-0.07611992, Z=-0.04071637, W=0.963279 
Frame 00190 Rotation: X=-0.2555713, Y=-0.07823568, Z=-0.04157954, W=0.962722 
Frame 00191 Rotation: X=-0.2572728, Y=-0.08096034, Z=-0.04269907, W=0.9619943 
Frame 00192 Rotation: X=-0.258803, Y=-0.083417, Z=-0.04371683, W=0.961328 
Frame 00193 Rotation: X=-0.2600453, Y=-0.08541399, Z=-0.04454954, W=0.960779 
Frame 00194 Rotation: X=-0.2614167, Y=-0.08762156, Z=-0.04547594, W=0.9601644 
Frame 00195 Rotation: X=-0.2629391, Y=-0.09007449, Z=-0.04651319, W=0.9594718 
Frame 00196 Rotation: X=-0.2645315, Y=-0.09263926, Z=-0.04760573, W=0.958736 
Frame 00197 Rotation: X=-0.266165, Y=-0.09527177, Z=-0.04873722, W=0.9579688 
Frame 00198 Rotation: X=-0.2673829, Y=-0.09723533, Z=-0.04958808, W=0.9573885 
Frame 00199 Rotation: X=-0.2686926, Y=-0.09934483, Z=-0.05050791, W=0.9567569 
Frame 00200 Rotation: X=-0.2703744, Y=-0.1020502, Z=-0.05169702, W=0.9559346 
Frame 00201 Rotation: X=-0.2707565, Y=-0.1026642, Z=-0.0519686, W=0.9557459 
Frame 00202 Rotation: X=-0.2731903, Y=-0.106586, Z=-0.05371973, W=0.9545264 
Frame 00203 Rotation: X=-0.2745644, Y=-0.1087881, Z=-0.05471208, W=0.9538271 
Frame 00204 Rotation: X=-0.2759316, Y=-0.1109748, Z=-0.05570545, W=0.953123 
Frame 00205 Rotation: X=-0.2771997, Y=-0.112999, Z=-0.05663248, W=0.9524623 
Frame 00206 Rotation: X=-0.2776122, Y=-0.1136545, Z=-0.05693361, W=0.9522462 
Frame 00207 Rotation: X=-0.280078, Y=-0.1175819, Z=-0.05875835, W=0.9509355 
Frame 00208 Rotation: X=-0.2814096, Y=-0.1196898, Z=-0.05974906, W=0.9502174 
Frame 00209 Rotation: X=-0.282818, Y=-0.1219105, Z=-0.06080098, W=0.9494499 
Frame 00210 Rotation: X=-0.2842491, Y=-0.1241589, Z=-0.0618755, W=0.9486614 
Frame 00211 Rotation: X=-0.2858655, Y=-0.1266919, Z=-0.06309979, W=0.9477597 
Frame 00212 Rotation: X=-0.2870531, Y=-0.1285425, Z=-0.0640013, W=0.9470909 
Frame 00213 Rotation: X=-0.2884342, Y=-0.1306832, Z=-0.06505348, W=0.9463063 
Frame 00214 Rotation: X=-0.2899006, Y=-0.1329432, Z=-0.06617372, W=0.9454654 
Frame 00215 Rotation: X=-0.2913841, Y=-0.1352164, Z=-0.06731147, W=0.9446063 
Frame 00216 Rotation: X=-0.2930395, Y=-0.1377373, Z=-0.0685875, W=0.9436377 
Frame 00217 Rotation: X=-0.2944763, Y=-0.1399084, Z=-0.06969744, W=0.9427893 
Frame 00218 Rotation: X=-0.294878, Y=-0.14051, Z=-0.07000637, W=0.9425514 
Frame 00219 Rotation: X=-0.2972865, Y=-0.1441204, Z=-0.07188345, W=0.9411073 
Frame 00220 Rotation: X=-0.2986363, Y=-0.1461169, Z=-0.07293437, W=0.9402908 
Frame 00221 Rotation: X=-0.3003406, Y=-0.1486229, Z=-0.0742683, W=0.9392502 
Frame 00222 Rotation: X=-0.3004202, Y=-0.1487384, Z=-0.07433014, W=0.9392016 
Frame 00223 Rotation: X=-0.3017256, Y=-0.150645, Z=-0.07535711, W=0.9383971 
Frame 00224 Rotation: X=-0.3031187, Y=-0.1526629, Z=-0.07645422, W=0.9375329 
Frame 00225 Rotation: X=-0.3046794, Y=-0.1549061, Z=-0.07768828, W=0.9365571 
Frame 00226 Rotation: X=-0.3071342, Y=-0.1583623, Z=-0.07961664, W=0.935014 
Frame 00227 Rotation: X=-0.3085504, Y=-0.160312, Z=-0.08072059, W=0.9341204 
Frame 00228 Rotation: X=-0.3098735, Y=-0.1621083, Z=-0.08174902, W=0.9332826 
Frame 00229 Rotation: X=-0.3112002, Y=-0.163884, Z=-0.08277668, W=0.9324401 
Frame 00230 Rotation: X=-0.3125748, Y=-0.1656963, Z=-0.0838372, W=0.9315649 
Frame 00231 Rotation: X=-0.3139312, Y=-0.1674557, Z=-0.08487859, W=0.9306994 
Frame 00232 Rotation: X=-0.3153305, Y=-0.1692396, Z=-0.08594675, W=0.9298053 
